UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15
100654,199157,232937,100724,160621,227526,199999,10236803,10236801,213598,133650,100830,175856,139366,219602,140960
100663,100706,221759,234030,104151,178396,126818,230764,209551,218663,134097,139959,240444,134130,200332,170976
100690,158477,133492,175980,455770,153144,236328,169080,210401,233374,166124,100937,130590,199607,214175,114840
100706,100663,221759,234030,126818,104151,178396,230764,218663,209551,134097,139959,240444,200332,134130,170976
100724,160621,199157,232937,100654,140960,213598,10236803,10236801,139366,133650,227526,198543,219602,175856,138789
100751,231174,150136,172699,133669,200280,155399,149222,238032,105330,230728,100858,180489,176372,142276,217882
100812,218654,15336601,210429,214704,156213,201441,213349,237792,161226,214689,235097,229814,204635,214670,214795
100830,138789,10236801,10236803,221740,171146,148654,219602,142115,179566,139366,130493,110510,217864,199218,179557
100858,155399,238032,230728,200280,180489,150136,100751,149222,172699,133669,142276,231174,105330,176372,151351
100937,133492,158477,175980,153144,236328,169080,214175,130590,455770,210401,233374,166124,199607,239716,223232
101073,229887,102377,218399,107600,218919,176318,199643,217873,101675,199582,228884,217721,132602,198303,206491
101116,447069,153418,475121,220552,459259,480082,468006,459268,468024,450377,458955,260901,445072,474951,447652
101189,146339,198969,155636,226587,164720,153375,101435,444990,180595,123651,219383,209409,154013,179548,198695
101435,177339,146339,180595,219383,123651,209409,211468,219000,164720,198969,444990,235769,226587,198695,153375
101453,449658,178679,155496,185758,219842,123280,443340,154536,164474,172705,213631,145275,151865,183804,213446
101480,237525,206695,159993,106704,106458,179557,157951,173920,174783,159717,141264,160612,240365,212115,101879
101541,231095,191676,233718,199607,230825,164632,220710,154350,123457,174747,232308,240338,191533,138600,141325
101587,100830,157951,212115,165820,210146,106704,106458,160038,101480,172051,171146,221740,211158,144005,179557
101675,218399,225885,199582,228884,107600,217721,220604,133526,133979,101073,218919,229887,198862,234164,140720
101693,218441,206330,104586,207689,161563,141185,206507,140872,188182,198598,107141,173452,143288,15336601,203845
101709,186201,451671,168263,377555,366711,206437,214704,201548,178420,240480,204936,166629,186371,166513,217819
101879,228802,159717,141264,106704,157951,154095,174783,237525,211158,106458,240329,161554,240365,218964,206695
101912,234164,107600,140720,217721,176406,199582,198969,132602,232265,235769,218399,101675,198695,133526,164720
102049,236230,237066,144962,217165,204936,165699,206437,201548,214069,217536,183910,204200,212832,183974,178721
102058,229887,176318,102298,199971,101073,441511,217873,219505,146667,176336,102261,140146,102377,201964,198862
102094,200800,232982,160658,182290,227216,229115,182281,228787,149222,156125,155399,179566,206604,240277,226833
102234,150534,213987,226383,153144,236328,217402,175980,192323,143358,153269,165334,210401,111948,235316,196413
102261,170091,179256,117575,129534,217606,142090,211130,165945,239424,177126,125718,455099,199759,195155,206288
102270,220598,132602,218399,228884,225575,217873,176406,217624,198756,160904,176318,446640,140988,140553,158802
102298,176318,217873,176406,229887,158802,197993,157058,198756,220598,220181,160904,102058,102377,140553,141060
102368,10236808,10236802,228431,172051,145336,224545,200004,445188,479956,10236809,10236803,10236801,139366,219602,175616
102377,217873,101073,139630,217907,229887,154101,145372,150941,151777,154712,152530,224527,140234,207403,220701
102395,245847,148982,189015,446932,114549,184773,113698,192554,195234,432357,260956,162760,238458,38561901,38561902
102553,151102,190558,136172,196130,110592,122597,126580,147776,190664,190594,207263,207041,110583,185129,110617
