"","INSTNM_ZIP","AVG(ADM_RATE_ALL)","AVG(SAT_AVG_ALL)","AVG(COSTT4_A)","AVG(C150_4)","AVG(PCTFLOAN)","AVG(UG25abv)","AVG(PAR_ED_N)","AVG(PAR_ED_PCT_1STGEN)","AVG(PCTPELL)","AVG(DEBT_MDN)","AVG(gt_25k_p6)","AVG(NONCOM_RPY_5YR_RT)","AVG(UGDS)","AVG(female)","AVG(married)","AVG(dependent)","AVG(veteran)","AVG(first_gen)","AVG(md_faminc)","AVG(pct_ba)","AVG(pct_grad_prof)","AVG(pct_born_us)","AVG(median_hh_inc)","AVG(poverty_rate)","AVG(unemp_rate)","AVG(loan_ever)"
"1","abilene christian university-79699",0.534507692307692,1099,35232.2,0.5565375,0.5875,0.06125,1667.25,0.2418755201875,0.23845,16261.34375,0.675324189662928,0.505145016014667,3912.0625,0.54249998927116,0.06750000081956,0.867499992251392,0.00999999977648,0.25249999389052,70192.625,17.5875000953674,8.5625,91.2224998474121,63250.6075,8.51250004768371,3.52749997377395,0.96500000357627
"2","abilene christian university-796999100",0.679395816368601,1047.4372451298,28670.9630987533,0.48,0.587502629787908,0.0772,1663,0.284425737,0.353911819782575,14500,0.644408797758188,0.330504575067643,4029,0.56000000238418,0.07000000029802,0.86000001430511,0.01999999955296,0.28000000119209,71645,16.8500003814697,8.3100004196167,91.4000015258789,60430.73,9.03999996185302,3.60999989509582,0.95999997854232
"3","abraham baldwin agricultural college-31793-260",0.6073,877,28670.9630987533,0.51127113245952,0.587502629787908,0.250195175645098,1655,0.502114804,0.353911819782575,4979.5,0.644408797758188,0.330504575067643,3310,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"4","abraham baldwin agricultural college-31793-2601",0.701375,845.5,12532.2,0.188366666666667,0.42588,0.2065,1979.3,0.4646216283,0.453433333333333,6106.45,0.551815187931058,0.581464326116667,3331.7,0.60500001907348,0.17999999970197,0.64499998092651,0.0249999994412,0.510000005364415,30828,8.67999982833862,4.94999980926513,95.435001373291,45615.04,14.5500001907348,3.62999999523162,0.675000011920925
"5","abraham baldwin agricultural college-31794-2601",0.6161,1047.4372451298,28670.9630987533,0.51127113245952,0.587502629787908,0.250195175645098,1635,0.537003058,0.353911819782575,3938,0.644408797758188,0.330504575067643,2979,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"6","abraham baldwin agricultural college-317942601",0.6825,1047.4372451298,28670.9630987533,0.51127113245952,0.587502629787908,0.2239,1422.2,0.5085418848,0.353911819782575,4562.8,0.644408797758188,0.330504575067643,2616,0.56000000238418,0.16666666666666,0.650000015894567,0.0299999993294433,0.51000001033147,32195.5,9.24333349863687,5.46666669845581,95.1266657511393,45344.5866666667,14.8033332824707,3.75666666030883,0.703333338101703
"7","adams state college-81102",0.685363636363636,937.272727272727,15838,0.303442857142857,0.670033333333333,0.2545125,1191.6,0.4614102128,0.5565,8952.26666666667,0.573533010482782,0.718816067653,2121.4,0.558000004291528,0.145999999344344,0.69800001382827,0.025999999418848,0.454000002145766,37989.7,14.8879999160766,8.35399980545044,92.2800003051757,51535.764,11.5940000534057,3.91599998474121,0.8579999923706
"8","adams state university-81101",0.5663,954,17220,0.21715,0.6305,0.2106,1339.5,0.4197424075,0.53455,11000,0.644408797758188,0.6391251966955,2304.5,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"9","adelphi university-11530",0.698025,1080.25,28670.9630987533,0.4814625,0.587502629787908,0.32435,1467.875,0.404784881,0.353911819782575,13269,0.7576687335968,0.330504575067643,3316,0.722499996423718,0.112500002607697,0.702500015497203,0.00749999983236,0.409999996423717,55067.75,16.9574999809264,12.0724999904632,76.3275012969971,84311.665,6.7075001001358,3.19000005722045,0.949999988079067
"10","adelphi university-11530-0701",0.682444444444444,1085.11111111111,38730.4,0.628255555555555,0.69924,0.19688,2183.88888888889,0.343675133,0.260583333333333,17123.1111111111,0.765709146857257,0,4937.66666666667,0.74000000953674,0.10999999940395,0.72000002861022,0.00999999977648,0.37000000476837,54115,16.5699996948242,11.4799995422363,74.5999984741211,80864.95,7.46999979019165,3.31999993324279,0.94999998807907
"11","adrian college-49221-257",0.8395,970,28670.9630987533,0.4713,0.587502629787908,0.250195175645098,541,0.425138632,0.353911819782575,11000,0.644408797758188,0.330504575067643,991,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"12","adrian college-49221-2575",0.676654545454546,1030.27272727273,36413.8,0.482736363636364,0.78762,0.0239833333333333,765.454545454545,0.372587346454545,0.3745,12230.7727272727,0.612077534198756,0.494871794871667,1307.18181818182,0.49500000476837,0.01499999966472,0.949999988079065,0.00499999988824,0.420000001788135,69921,12.6849999427795,6.92999982833862,95.8050003051758,66796.995,5.72000002861023,3.22500002384186,0.98000001907348
"13","adrian college-492212575",0.9022,1010,28670.9630987533,0.47272,0.587502629787908,0.0484,533,0.4259412974,0.353911819782575,9734.8,0.644408797758188,0.330504575067643,892.2,0.496666649977363,0.0299999993294433,0.930000007152553,0.00999999977648,0.426666667064027,69277.6666666667,11.7733335494995,6.21000003814697,96.1766688028971,63451.98,5.93333339691162,3.21333328882853,0.963333328564953
"14","adventist university of health sciences-32803",0.54725,877,21863,0.3405,0.57365,0.6056,1043,0.4234837515,0.3515,14680.5,0.644408797758188,0.3997175141245,2271.5,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
